col_name,col_name_lime
qualcodebook_why_off_context,QLcBookWhy[offCtx]
qualcodebook_why_no_benefit,QLcBookWhy[nogood]
qualcodebook_why_dont_know,QLcBookWhy[dunno]
qualcodebook_why_other,QLcBookWhyOther
qualcodebook_condition_repro,QLcBookCond[reprod]
qualcodebook_condition_build,QLcBookCond[build]
qualcodebook_condition_proof,QLcBookCond[proof]
quanraw_public,QTrawIsPub
quanraw_in_paper,QTrawWhere[paper]
quanraw_in_prev_work,QTrawWhere[prevWork]
quanraw_in_acmdl,QTrawWhere[acmdl]
quanraw_in_repo_pub,QTrawWhere[pubRepo]
quanraw_in_repo_uni,QTrawWhere[uniRepo]
quanraw_in_repo_github,QTrawWhere[webRepo]
quanraw_in_web,QTrawWhere[webPersonal]
quanraw_in_author,QTrawWhere[author]
quanraw_in_other,QTrawWhere[other]
quanraw_url_pub,QTrawURLPub
quanraw_url_uni,QTrawURLUni
quanraw_url_github,QTrawURLGH
quanraw_url_author,QTrawURLPersWeb
quanraw_why_sensitive_participant,QTrawWhy[senPar]
quanraw_why_sensitive_researcher,QTrawWhy[senRes]
quanraw_why_sensitive_government,QTrawWhy[senGov]
quanraw_why_no_permission,QTrawWhy[noPerm]
quanraw_why_resource_annonymize,QTrawWhy[resAno]
quanraw_why_commercial,QTrawWhy[valCom]
quanraw_why_research,QTrawWhy[valRes]
quanraw_why_resource_present,QTrawWhy[resPres]
quanraw_why_resource_distribute,QTrawWhy[resDist]
quanraw_why_off_context,QTrawWhy[offCtx]
quanraw_why_no_benefit,QTrawWhy[nogood]
quanraw_why_dont_know,QTrawWhy[dunno]
quanraw_why_other,QTrawWhyOther
quanraw_condition_repro,QTrawCond[reprod]
quanraw_condition_build,QTrawCond[build]
quanraw_condition_proof,QTrawCond[proof]
quanprocessed_public,QTprpIsPub
quanprocessed_in_paper,QTprpWhere[paper]
quanprocessed_in_prev_work,QTprpWhere[prevWork]
quanprocessed_in_acmdl,QTprpWhere[acmdl]
quanprocessed_in_repo_pub,QTprpWhere[pubRepo]
quanprocessed_in_repo_uni,QTprpWhere[uniRepo]
quanprocessed_in_repo_github,QTprpWhere[webRepo]
quanprocessed_in_web,QTprpWhere[webPersonal]
quanprocessed_in_author,QTprpWhere[author]
quanprocessed_in_other,QTprpWhere[other]
quanprocessed_url_pub,QTprpURLPub
quanprocessed_url_uni,QTprpURLUni
quanprocessed_url_github,QTprpURLGH
quanprocessed_url_author,QTprpURLPersWeb
quanprocessed_why_sensitive_participant,QTprpWhy[senPar]
quanprocessed_why_sensitive_researcher,QTprpWhy[senRes]
quanprocessed_why_sensitive_government,QTprpWhy[senGov]
quanprocessed_why_no_permission,QTprpWhy[noPerm]
quanprocessed_why_resource_annonymize,QTprpWhy[resAno]
quanprocessed_why_commercial,QTprpWhy[valCom]
quanprocessed_why_research,QTprpWhy[valRes]
quanprocessed_why_resource_present,QTprpWhy[resPres]
quanprocessed_why_resource_distribute,QTprpWhy[resDist]
quanprocessed_why_off_context,QTprpWhy[offCtx]
quanprocessed_why_no_benefit,QTprpWhy[nogood]
quanprocessed_why_dont_know,QTprpWhy[dunno]
quanprocessed_why_other,QTprpWhyOther
quanprocessed_condition_repro,QTprpCond[reprod]
quanprocessed_condition_build,QTprpCond[build]
quanprocessed_condition_proof,QTprpCond[proof]
quancode_public,QTsrcIsPub
quancode_in_paper,QTsrcWhere[paper]
quancode_in_prev_work,QTsrcWhere[prevWork]
quancode_in_acmdl,QTsrcWhere[acmdl]
quancode_in_repo_pub,QTsrcWhere[pubRepo]
quancode_in_repo_uni,QTsrcWhere[uniRepo]
quancode_in_repo_github,QTsrcWhere[webRepo]
quancode_in_web,QTsrcWhere[webPersonal]
quancode_in_author,QTsrcWhere[author]
quancode_in_other,QTsrcWhere[other]
quancode_url_pub,QTsrcURLPub
quancode_url_uni,QTsrcURLUni
quancode_url_github,QTsrcURLGH
quancode_url_author,QTsrcURLPersWeb
quancode_why_sensitive_participant,QTsrcWhy[senPar]
quancode_why_sensitive_researcher,QTsrcWhy[senRes]
quancode_why_sensitive_government,QTsrcWhy[senGov]
quancode_why_no_permission,QTsrcWhy[noPerm]
quancode_why_resource_annonymize,QTsrcWhy[resAno]
quancode_why_commercial,QTsrcWhy[valCom]
quancode_why_research,QTsrcWhy[valRes]
quancode_why_resource_present,QTsrcWhy[resPres]
quancode_why_resource_distribute,QTsrcWhy[resDist]
quancode_why_off_context,QTsrcWhy[offCtx]
quancode_why_no_benefit,QTsrcWhy[nogood]
quancode_why_dont_know,QTsrcWhy[dunno]
quancode_why_other,QTsrcWhyOther
quancode_condition_repro,QTsrcCond[reprod]
quancode_condition_build,QTsrcCond[build]
quancode_condition_proof,QTsrcCond[proof]
software_public,SWIsPub
software_in_paper,SWWhere[paper]
software_in_prev_work,SWWhere[prevWork]
software_in_acmdl,SWWhere[acmdl]
software_in_repo_pub,SWWhere[pubRepo]
software_in_repo_uni,SWWhere[uniRepo]
software_in_repo_github,SWWhere[webRepo]
software_in_web,SWWhere[webPersonal]
software_in_author,SWWhere[author]
software_in_other,SWWhere[other]
software_url_pub,SWURLPub
software_url_uni,SWURLUni
software_url_github,SWURLGH
software_url_author,SWURLPersWeb
software_why_commercial,SWWhy[valCom]
software_why_research,SWWhy[valRes]
software_why_resource_present,SWWhy[resPres]
software_why_resource_distribute,SWWhy[resDist]
software_why_off_context,SWWhy[offCtx]
software_why_no_benefit,SWWhy[nogood]
software_why_dont_know,SWWhy[dunno]
software_why_other,SWWhyOther
software_condition_repro,SWCond[reprod]
software_condition_build,SWCond[build]
software_condition_proof,SWCond[proof]
hardware_public,HWIsPub
hardware_in_paper,HWWhere[paper]
hardware_in_prev_work,HWWhere[prevWork]
hardware_in_acmdl,HWWhere[acmdl]
hardware_in_repo_pub,HWWhere[pubRepo]
hardware_in_repo_uni,HWWhere[uniRepo]
hardware_in_repo_github,HWWhere[webRepo]
hardware_in_web,HWWhere[webPersonal]
hardware_in_author,HWWhere[author]
hardware_in_other,HWWhere[other]
hardware_url_pub,HWURLPub
hardware_url_uni,HWURLUni
hardware_url_github,HWURLGH
hardware_url_author,HWURLPersWeb
hardware_why_commercial,HWWhy[valCom]
hardware_why_research,HWWhy[valRes]
hardware_why_resource_present,HWWhy[resPres]
hardware_why_resource_distribute,HWWhy[resDist]
hardware_why_off_context,HWWhy[offCtx]
hardware_why_no_benefit,HWWhy[nogood]
hardware_why_dont_know,HWWhy[dunno]
hardware_why_other,HWWhyOther
hardware_condition_repro,HWCond[reprod]
hardware_condition_build,HWCond[build]
hardware_condition_proof,HWCond[proof]
others_public,othersIsPub
others_in_paper,othersWhere[paper]
others_in_prev_work,othersWhere[prevWork]
others_in_acmdl,othersWhere[acmdl]
others_in_repo_pub,othersWhere[pubRepo]
others_in_repo_uni,othersWhere[uniRepo]
others_in_repo_github,othersWhere[webRepo]
others_in_web,othersWhere[webPersonal]
others_in_author,othersWhere[author]
others_in_other,othersWhere[other]
others_url_pub,othersURLPub
others_url_uni,othersURLUni
others_url_github,othersURLGH
others_url_author,othersURLPersWeb
others_why_sensitive_participant,othersWhy[senPar]
others_why_sensitive_researcher,othersWhy[senRes]
others_why_sensitive_government,othersWhy[senGov]
others_why_no_permission,othersWhy[noPerm]
others_why_resource_annonymize,othersWhy[resAno]
others_why_commercial,othersWhy[valCom]
others_why_research,othersWhy[valRes]
others_why_resource_present,othersWhy[resPres]
others_why_resource_distribute,othersWhy[resDist]
others_why_off_context,othersWhy[offCtx]
others_why_no_benefit,othersWhy[nogood]
others_why_dont_know,othersWhy[dunno]
others_why_other,othersWhyOther
others_condition_repro,othersCond[reprod]
others_condition_build,othersCond[build]
others_condition_proof,othersCond[proof]
self_responsible_for_study,reponsible4Study
self_responsible_for_prototype,responsible4Product
self_degree,degree
self_year_research,yearInHCI
comment,otherComments
